"game_id","name","max_players","playtime","min_age","min_players","age_of_game","users_rated","rating","CardGame","Wargame","Fantasy","Fighting","Economic","Science.Fiction","Dice","Party.Game","AbstractStrategy","Childrens.Game","WorldWarII","Bluffing","Humor","Animals","Adventure","Medieval","Action.Dexterity","Deduction","Movies.TV.Radiotheme","Miniatures"
1,"Die Macher",5,240,14,3,36,4498,7.66508,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
2,"Dragonmaster",4,30,12,3,41,478,6.60815,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
3,"Samurai",4,60,10,2,24,12019,7.44119,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No"
4,"Tal der Könige",4,60,12,2,30,314,6.60675,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
5,"Acquire",6,90,12,3,58,15195,7.3583,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
6,"Mare Mediterraneum",6,240,12,2,33,73,6.52534,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
7,"Cathedral",2,20,8,2,44,2751,6.50534,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
8,"Lords of Creation",5,120,12,2,29,186,6.14538,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
9,"El Caballero",4,90,13,2,24,1263,6.51776,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
10,"Elfenland",6,60,10,2,24,6729,6.74996,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
11,"Bohnanza",7,45,13,2,25,28354,7.06751,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
12,"Ra",5,60,12,2,23,15378,7.47505,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
13,"Catan",4,120,10,3,27,67655,7.26569,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
14,"Basari",4,25,10,3,24,1476,6.78156,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
15,"Cosmic Encounter",6,90,12,2,45,3629,6.9347,"No","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
16,"MarraCash",4,60,12,3,26,877,6.84341,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
17,"Button Men",2,5,10,2,23,724,6.3087,"No","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
18,"RoboRally",8,120,12,2,28,19371,7.15355,"No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes"
19,"Wacky Wacky West",4,45,9,2,31,1459,6.31166,"No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
20,"Full Metal Planète",4,90,12,2,34,602,7.43592,"No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
22,"Magic Realm",16,240,12,1,43,1709,7.14384,"No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
23,"Divine Right",6,360,12,2,43,483,6.95654,"No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
24,"Twilight Imperium",6,240,12,2,25,667,6.66812,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
25,"Battlemist",6,200,12,2,24,308,5.93231,"No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
26,"Age of Renaissance",6,360,12,3,26,1944,7.0993,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
27,"Supremacy",6,340,12,2,38,1201,5.57724,"No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
28,"Illuminati:  Deluxe Edition",8,180,12,2,35,4274,6.5289,"Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
29,"Terrain Vague",4,120,10,2,29,61,6.66639,"No","No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No"
30,"Dark Tower",4,90,10,1,41,1052,6.6435,"No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
31,"Dark World",5,90,10,2,30,590,5.18525,"No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes"
32,"Bison",2,30,8,2,47,182,6.04137,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
34,"Arkham Horror",8,180,12,1,35,453,6.56386,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
36,"Federation & Empire",8,300,12,2,36,355,6.23239,"No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
37,"Dragon Masters",4,120,12,2,31,130,5.69731,"No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
38,"Runes",4,30,10,2,41,82,6.06707,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No"
39,"Darkover",4,60,12,2,43,96,5.22865,"No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
40,"Borderlands",4,120,12,2,40,254,6.77517,"No","No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
41,"Can't Stop",4,30,9,2,42,9095,6.85659,"No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No"
42,"Tigris & Euphrates",4,90,12,2,25,20166,7.72379,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
43,"Airlines",6,90,12,2,32,346,6.61065,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
44,"David & Goliath",6,60,8,3,24,1418,6.4529,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
46,"Medici",6,60,10,2,27,5702,7.1502,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
47,"Chinatown",5,60,12,3,23,5846,7.23234,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
48,"Krieg und Frieden",4,90,12,2,23,646,6.13737,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
49,"Mamma Mia!",5,30,10,2,23,4824,6.48827,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
50,"Lost Cities",2,30,10,2,23,26686,7.14784,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
51,"Ricochet Robots",15,30,10,1,23,6278,6.99357,"No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
52,"Mighty Empires",3,300,14,2,32,449,6.08468,"No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
54,"Tikal",4,90,13,2,23,13674,7.34313,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
55,"Sophie's World",6,0,12,2,24,69,4.93768,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
57,"Schoko & Co.",4,180,13,2,35,371,6.6678,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
58,"Kings & Things",4,120,12,2,36,1477,6.53692,"No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
59,"Giganten",4,90,10,3,23,1294,6.75663,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
60,"Vinci",6,90,14,3,23,3712,7.13097,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
61,"Fossil",6,40,10,2,24,617,5.41618,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
62,"Curse of the Mummy's Tomb",4,120,12,1,34,298,5.22768,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
63,"Samurai",8,180,12,2,43,369,6.38198,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
64,"Joan of Arc",6,180,12,3,24,409,6.26579,"Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
66,"Löwenherz",4,90,12,2,25,2193,7.08413,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No"
67,"Conquest",4,120,10,2,48,333,6.27156,"No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
68,"Successors (second edition)",4,180,12,2,25,439,7.02629,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
70,"Big City",5,60,10,2,23,2164,6.9039,"No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
71,"Civilization",7,360,12,2,42,6178,7.52258,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
72,"Verräter",4,60,12,3,24,1709,6.74051,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
73,"Show Manager",6,60,10,2,26,1474,7.06054,"Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
74,"Apples to Apples",10,30,12,4,23,14611,5.95458,"Yes","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No"
75,"Falling",8,5,8,4,24,1264,5.49601,"Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
76,"Air Baron",6,120,10,2,26,716,6.38664,"No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
77,"EastFront",2,240,12,2,31,626,7.6713,"No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No"
78,"WestFront",2,240,12,2,30,177,6.89085,"No","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No"
82,"Bobby Lee",2,240,12,2,29,297,6.83287,"No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
